image,centroid,lf_hf
Haiti033.tif,139.42885535468375,0.476984983644902
Haiti166.tif,128.59550299777948,0.5954421580303736
Haiti744.tif,112.29525753343235,0.8738515574865293
Haiti771.tif,119.42656033884167,0.7489749034266588
Haiti609.tif,119.26814708261054,0.751958991566798
Haiti692.tif,116.36239191916579,0.818454607345753
Haiti167.tif,127.15086941596428,0.6140548182783649
Haiti115.tif,122.88038067990358,0.6757494114908714
Haiti132.tif,126.39251652047075,0.6192762621625968
Haiti565.tif,117.60303026727921,0.7849561023529049
Haiti685.tif,118.0819976322954,0.7725220409730942
Haiti046.tif,126.36933609853928,0.611016985667506
Haiti193.tif,119.3133270947747,0.7171932396155305
Haiti147.tif,110.02557780878034,0.9178632120964337
Haiti213.tif,125.28123663521066,0.6568019034082394
Haiti057.tif,127.7644248893745,0.6047593622738864
Haiti635.tif,115.17627391757458,0.8090031593161717
Haiti289.tif,114.35940836999431,0.814248034182559
Haiti405.tif,116.9928412220408,0.7822399386287321
Haiti093.tif,127.52162349437042,0.6037434276017741
Haiti640.tif,117.53221065991305,0.7592742857737083
Haiti188.tif,124.29188424106624,0.6476111908892922
Haiti113.tif,126.5177128502861,0.6221963598746644
Haiti478.tif,111.64219600307575,0.8820095281960572
Haiti174.tif,121.68431383547018,0.6863685814697149
Haiti825.tif,120.69697602477474,0.7151898518975338
Haiti334.tif,116.72542379024814,0.7551695889463729
Haiti658.tif,117.11723611955244,0.8085522531081397
Haiti547.tif,125.05479619799215,0.6707671859722456
Haiti077.tif,123.49686968780803,0.669360978010717
Haiti661.tif,114.718748718886,0.8317441351844037
Haiti333.tif,115.32931642016061,0.7777184179426178
Haiti186.tif,123.39075355036996,0.6582301964418945
Haiti605.tif,112.11465630008786,0.8433029712536748
Haiti367.tif,119.12396362677113,0.7419166110589773
Haiti723.tif,120.19346410073783,0.7509415647917279
Haiti165.tif,127.15476015348405,0.6147473810618771
Haiti351.tif,121.00462941067705,0.7193776137220347
Haiti768.tif,124.57481731643172,0.6510444791105192
Haiti340.tif,114.80960795209295,0.8005132255423676
Haiti634.tif,117.9530520164201,0.7616290056384925
Haiti343.tif,114.93913671087594,0.8059669535482489
Haiti628.tif,124.51716439828326,0.6510062201415481
Haiti569.tif,113.08577021077407,0.866100817210903
Haiti308.tif,116.43810312454288,0.7847162134003216
Haiti004.tif,125.45305233363645,0.6475457785234339
Haiti524.tif,111.29875062329955,0.8992228155983789
Haiti269.tif,124.75096247635877,0.6511531069264707
Haiti118.tif,122.20578412406067,0.6922505325248786
Haiti730.tif,115.80042205630956,0.786327828058865
Haiti419.tif,109.4914637666724,0.9364990586909397
Haiti032.tif,143.5256457771444,0.42531679636953396
Haiti675.tif,124.34892036484429,0.6546603803929465
Haiti291.tif,124.31497124791774,0.660078038147229
Haiti345.tif,120.78095958087223,0.7185081761179277
Haiti481.tif,111.77881113572087,0.8475094722524672
Haiti758.tif,122.17582007270907,0.6983689140446733
Haiti688.tif,115.62609749611804,0.8335954207949712
Haiti480.tif,111.19727651691421,0.8601892032768573
Haiti504.tif,116.55333691485247,0.7824623763779189
Haiti155.tif,125.94556840717657,0.6345393141876111
Haiti283.tif,113.83583284721158,0.817084368743538
Haiti623.tif,111.30320676404108,0.9045061213004391
Haiti437.tif,122.22802390378409,0.7219928545706799
Haiti417.tif,118.15312572348004,0.7784755425966791
Haiti624.tif,106.6246041381212,0.9897601928208898
Haiti457.tif,103.66880504488155,1.0210414699644197
Haiti581.tif,120.29918459907486,0.7095597816221965
Haiti595.tif,125.79972291773713,0.6543246253603928
Haiti631.tif,121.16030314386123,0.709036257361471
Haiti715.tif,123.38881797509251,0.6798513971730852
Haiti123.tif,128.59545477821368,0.602964547810107
Haiti095.tif,125.99855535173428,0.62184318030109
Haiti710.tif,127.92519732893189,0.6242766577811437
Haiti485.tif,122.52369959811202,0.6729263344557583
Haiti757.tif,123.20177313134191,0.6926637014760847
Haiti301.tif,120.47884433012885,0.7285883893019763
Haiti210.tif,120.6682073450149,0.705169427232546
Haiti297.tif,122.3335853431319,0.6975313170339712
Haiti772.tif,119.07354427357413,0.7515296543672523
Haiti307.tif,119.55617679066488,0.7347694858852103
Haiti062.tif,123.13214069908716,0.652414050805523
Haiti312.tif,121.76732698183577,0.6920423103294384
Haiti418.tif,112.23299904662402,0.8837327568410314
Haiti248.tif,124.44910743489824,0.6699772814486445
Haiti173.tif,130.00282291841117,0.5782291395972289
Haiti810.tif,122.92657524522785,0.6836742446607312
Haiti745.tif,119.8704768468544,0.7215144551918649
Haiti527.tif,101.8188490132779,1.0819112815080025
Haiti490.tif,116.70804438502977,0.7828082216516775
Haiti533.tif,111.66557546744723,0.8373480139312525
Haiti530.tif,113.68087149004994,0.8500337708821464
Haiti816.tif,126.85472915227433,0.6232489917454822
Haiti192.tif,119.80420780815005,0.7282329955084674
Haiti698.tif,114.30587435958819,0.7992535463213429
Haiti523.tif,111.25587724488778,0.8992842582140086
Haiti109.tif,102.7166444320889,1.0826046863036036
Haiti182.tif,127.5671714655201,0.615040082976786
Haiti690.tif,116.30831791248495,0.8141926422527512
Haiti528.tif,105.13836821712327,1.0088675852754503
